Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2014,8.1,757074,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,7,485820,65,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2016,7.3,157606,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2016,7.2,60545,59,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.2,393727,40,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,6.1,56036,42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,8.3,258682,93,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2016,7.1,7188,78,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,192177,41,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.5,232072,66,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,7.8,93103,74,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,7.9,323118,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.7,118151,81,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.4,8612,70,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.6,120259,61,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.2,211760,71,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,6.7,150823,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,8.1,102061,69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8,340798,81,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2016,6.7,19053,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.9,134213,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.5,38552,56,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.3,127553,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.2,66540,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.9,112813,36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.3,48123,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.5,126030,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.1,275510,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,8,627797,65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5.6,46165,49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,7.9,411656,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,8.6,1047747,74,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.6,293732,72,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,6.9,122853,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,6.3,120690,66,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.5,135095,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.2,37033,66,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,6.3,279,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6.7,395025,45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,7.3,17818,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
