Year,Rating,Votes,Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western,Success
2014,8.1,757074.0,76.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,7.0,485820.0,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2016,7.3,157606.0,62.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2016,7.2,60545.0,59.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.2,393727.0,40.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,6.1,56036.0,42.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,8.3,258682.0,93.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2016,7.1,7188.0,78.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.0,192177.0,41.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.5,232072.0,66.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,7.8,93103.0,74.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,7.9,323118.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.7,118151.0,81.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.4,8612.0,70.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.6,120259.0,61.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.2,211760.0,71.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,6.7,150823.0,58.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,8.1,102061.0,69.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.0,340798.0,81.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2016,6.7,19053.0,49.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.9,134213.0,96.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.5,38552.0,56.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.3,127553.0,32.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.2,66540.0,60.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.9,112813.0,36.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.3,48123.0,39.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.5,126030.0,67.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.1,275510.0,52.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,8.0,627797.0,65.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5.6,46165.0,49.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,7.9,411656.0,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,8.6,1047747.0,74.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.6,293732.0,72.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,6.9,122853.0,54.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,6.3,120690.0,66.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.5,135095.0,99.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.2,37033.0,66.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,6.3,279.0,57.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6.7,395025.0,45.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,7.3,17818.0,64.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.1,164567.0,68.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,8.1,661608.0,81.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,5.8,41362.0,23.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,5.6,20221.0,18.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.2,321933.0,68.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,9.0,1791916.0,82.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.3,49190.0,79.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,7.2,121103.0,71.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2016,7.4,113322.0,51.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.0,3739.0,76.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.5,137608.0,74.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.7,472307.0,44.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.5,102177.0,48.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,4.1,244474.0,46.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2006,8.5,913152.0,66.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,7.7,440209.0,58.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.4,39784.0,69.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2015,8.1,632842.0,90.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.5,291.0,61.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.2,89849.0,68.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7.1,78079.0,60.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,7.5,39134.0,76.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,6.8,43977.0,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,8.1,296853.0,78.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,7.1,498821.0,50.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2012,8.1,1045588.0,69.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,8.3,959065.0,69.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2006,7.3,552027.0,53.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016,5.3,147717.0,60.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,8.8,1583625.0,74.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.9,105081.0,72.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8.2,865134.0,75.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,8.1,636243.0,79.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2015,7.2,301249.0,67.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,7.0,455169.0,59.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,6.4,27869.0,49.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.8,935408.0,83.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015,7.8,341170.0,68.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,7.4,162122.0,51.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8.1,431185.0,74.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,7.0,187547.0,32.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,8.1,342429.0,62.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,7.1,106463.0,57.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
